,title,company,location,indeed_url,page_number,app_type,app_text,company_url,rank_on_page,description,stats.gender,stats.pronoun,stats.female,stats.veteran,stats.race,stats.nonbinary,stats.non-binary,stats.cisgender,stats.transgender,stats.diversity
0,"AI/ML - Machine Learning Engineer, Machine Intelligence",Apple,"Seattle, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0COaG2VYStWzzXDu33ILNMYNNKyRkXYA1E-sfa3VIMiABxJOHQMYul4byTf_tFI9NgIyuUGeSNdAL96ojHxUf0rYkLbpP3ZmuGLnxx0r_xKk9oBO56zEDreaePzELihnsAx0GjbCEM5Ik0LAbRjpaOEYGbFisL85ZrBbkhcZ8RO6EmLzymhF4qa7cixU9tnfvMcnVyBjmsSLXsUkDkQKU0nX_70Ijhr1fkq7avkUkonLPsn36RAk5Iwev7Umr5Ye8K-pXTokvrRO5Cr-5nzwMAz4M3zMi7v3XyeYrflm_eXtuiptvzXHPVRhtJPcBf_JshfWNB9lXNSPuyHrRUPncUkIlXqbbTXJvNEy1hvbOJn02JWM0myknbzo-aKIhxC-pmH_wJuK9VKq1ar5U_NWQx94MsAIlpGeM23D3RnVgtDY_cjngKg4OttJWIED4v6PbRpoJ_ggYtF0pDsHyxJ382RPwZBkbwPiWAaqtI2tTDme3Ci5xnPOAR4BM-Mw9V4NoGu1XFzO5FayPRx6IFfdiKvomljNvO9EaZzEcsrpTNj9Fm62cQ5IvI0dk0uXviYXKnLTNV8cL0bjzvvcupCLydjWvzz78xOQAZE_WIrAit50dNXimnUCv513x0taTkcbvDQcdrM4o-ic3knKu0HNgsDvkoT7yRPwttcThuhn3Nkdcv2Lta4uDs0NK6SE9Ih30bedzzhM00cVQ==&p=0&fvj=0&vjs=3,1,unknown,cannot parse,https://jobs.apple.com/en-us/details/200169249/ai-ml-machine-learning-engineer-machine-intelligence?team=MLAI,1,,0,0,0,0,0,0,0,0,0,0
0,"Bioinformatics Engineer, Algorithm",Invitae,"Seattle, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0A_VaQStw2a12xWLkV5TzTSv2Q7NqOX3v3-gG-0QpYMF93ZBP1emlwNsdVAPj122dTQlFkN9WAI16jD3NeuqPe6Wz_S9dJt-awfNL1rtRaghtVqDhjypznkKCLe1jRlHiAH2yQ2RphP2RPgMBMjl-gPRwEkbDi1Hs1Dib1R77QiZPqmnD2ObGubdAOZyJMm9a0B15zg79SnIB0ze5u2vBCPZEpCtLQw4koTrBeIvEMM3NLMfzsCHPvvAA-ICW9iRJZhacvFQ3CQngnYdgtVxJbw_2Ar2KLZAcAMgwdU9G1pulCsEwiIDApEnykZAUKLMoX7bP1Jx3WxOfHC7T51kbv9yTGp-Co2HACGcFw_HhKLHmR08GFB01w9TiuRP5W1GnOaYgaHLt7fLdO-8IIi_gKn7rUDfRvuOPevYr_cduX7a4lE3YkZxo8pWoRw2A4PQF9A5RQw5NnhLQ==&p=1&fvj=0&vjs=3,1,apply now,"bioinformatics engineer, algorithm	invitae	-	seattle, wa	* these fields are required	first name *	last name *	email *	phone number *	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	add cover letter	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	below you will see questions from the employer that are part of this application.	which office would you prefer to work in? *	san francisco, ca	cambridge, ma	linkedin profile	how did you hear about this job?	below you will see questions from the employer that are part of this application.	work authorization *	i will now, or in the future require employer sponsorship to obtain work authorization in the country in which this position is based. (ex., if you have an f-1 (opt) visa, often you may need employer sponsorship in the future)	i am authorized to work for any employer in the country in which this position is based and will not require employer sponsorship now or in the future.	my status to work in the country in which this position is based is unknown.	individuals seeking employment at invitae are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation. you are being given the opportunity to provide the following information in order to help us comply with federal and state equal employment opportunity/affirmative action record keeping, reporting, and other legal requirements.	completion of the form is entirely voluntary. whatever your decision, it will not be considered in the hiring process or thereafter. any information that you do provide will be recorded and maintained in a confidential file.  gender?	male	female	decline to self identify	race/ethnicity	american indian or alaskan native	asian	black or african american	hispanic or latino	white	native hawaiian or other pacific islander	two or more races	decline to self identify	below you will see questions from the employer that are part of this application.	if you believe you belong to any of the categories of protected veterans listed below, please indicate by making the appropriate selection.  as a government contractor subject to vietnam era veterans readjustment assistance act (vevraa), we request this information in order to measure the effectiveness of the outreach and positive recruitment efforts we undertake pursuant to vevraa. classification of protected categories is as follows:	a ""disabled veteran"" is one of the following: a veteran of the u.s. military, ground, naval or air service who is entitled to compensation (or who but for the receipt of military retired pay would be entitled to compensation) under laws administered by the secretary of veterans affairs; or a person who was discharged or released from active duty because of a service-connected disability.	a ""recently separated veteran"" means any veteran during the three-year period beginning on the date of such veteran's discharge or release from active duty in the u.s. military, ground, naval, or air service.	an ""active duty wartime or campaign badge veteran"" means a veteran who served on active duty in the u.s. military, ground, naval or air service during a war, or in a campaign or expedition for which a campaign badge has been authorized under the laws administered by the department of defense.	an ""armed forces service medal veteran"" means a veteran who, while serving on active duty in the u.s. military, ground, naval or air service, participated in a united states military operation for which an armed forces service medal was awarded pursuant to executive order 12985.  veteran status?	i am not a protected veteran	i identify as one or more of the classifications of a protected veteran	i don't wish to answer	form cc-305 omb control number 1250-0005 expires 1/31/2020	voluntary self-identification of disability	why are you being asked to complete this form?	because we do business with the government, we must reach out to, hire, and provide equal opportunity to qualified people with disabilities1.  to help us measure how well we are doing, we are asking you to tell us if you have a disability or if you ever had a disability.  completing this form is voluntary, but we hope that you will choose to fill it out.  if you are applying for a job, any answer you give will be kept private and will not be used against you in any way.	if you already work for us, your answer will not be used against you in any way. because a person may become disabled at any time, we are required to ask all of our employees to update their information every five years.  you may voluntarily self-identify as having a disability on this form without fear of any punishment because you did not identify as having a disability earlier.	how do i know if i have a disability?  you are considered to have a disability if you have a physical or mental impairment or medical condition that substantially limits a major life activity, or if you have a history or record of such an impairment or medical condition.	disabilities include, but are not limited to:  blindness deafness cancer diabetes epilepsy autism cerebral palsy hiv/aids schizophrenia muscular dystrophy bipolar disorder major depression multiple sclerosis (ms) missing limbs or partially missing limbs post-traumatic stress disorder (ptsd) obsessive compulsive disorder impairments requiring the use of a wheelchair intellectual disability (previously called mental retardation)  disability status?	yes, i have a disability (or previously had a disability)	no, i don't have a disability	i don't wish to answer	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel","https://www.indeed.com/viewjob?jk=ced8475eab46ad87&q=machine+learning+engineer&l=Seattle,+WA&from=web&advn=2558456216356652&adid=308233161&sjdu=VyNrwcfTK15LupteTX0rmeUL-Ugf3KuULucA50pU0DSvS9DbmzykZIx7e960fT9U&acatk=1e97odmujnhi6802&pub=4a1b367933fd867b19b072952f68dceb&vjs=3",2,,2,0,1,16,3,0,0,0,0,0
0,Director of Engineering - Records & Big Data Platform,Motorola Solutions,"Seattle, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Dk4SAOkRj2qh8c0bq3DNnCqVpYO-iD86R3v91P7SScVpjeFmVykIb8fni_6wP90IuyZuQMQucwE7n0dGfvjE6MmUtbodVS38voRFaDb2CM5GqsUZ1HtbAKUQHS09c-tAWLs7TFS1the1QLWIV8I9M9yMVBygebM2L3WKV1WTkuXgCy5P8M96V5l4dZCeJcMkkg-KcD-QAqgdtENtkF_nBELQfsE0kbpD2mHWhtb2r3EJb3_jDfHd4rg_iSMS03kktvYzEJiQz2bWU1YvNACYJSPa3Bu9We0jwB82KZrg3CR1BG7lTYAGffo6q5pCIA12Xqfs_92RZwJyY_RbO6JV-Fj4Bz23T54N63jTj9mNGUa61jA-kAohTAvU_GtNy8e660s6Eb2C4AMMv3rdT90VxJtKxtwvocrZMg3epVWIsj4BQHbeFfFyjNymoXmpTcSn7F_Mv6ybcJ78EZUKUd8Ei6YYYiM7TvXObYQ36fYku9SEJVHavFRhg-w7l4xo600buafe-hp1NUmkUn4do1a6dbhdyapw08W0WodFniwIGp9GPnFkX-LzkD4wRGvICoWjB2xT6fNo7ryy7x-iunn6hGye4AQJqf0YHl0sx6cj5mMBfGXW3MqbXIXH-IbLO29_oKT5EG49GSA3O8WveNMQ10PM9KtXmJfFFfFlrKPE40-Q==&p=2&fvj=0&vjs=3,1,workday,cannot parse,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Seattle-Washington/Director-of-Engineering---Records---Big-Data-Platform_R5454?source=APPLICANT_SOURCE-6-250,3,,0,0,0,0,0,0,0,0,0,0
0,Sr. Software Engineer,Allstate,"Bothell, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BLH0BMQoDn-yw6Urt952hBm1JLFZ7WpBxND2cMIOjOqbFVk94wXfJol2fCSe2VsLxxSSHXWaA-EUlqBwwXr1NtQbzAF_Y5WwCJ31kW5k_Qw8nBrSNlHpS6504UfWrpNNGOThdYOwTqxefOoIDfv7tPzLW7t2OvoLvs_yc1uJmig9nAqjI38Hp8CNAgB0eaAv0tvR3OJLLMyh33HYn0JjR7l0IZQ1jnPmlb8yNejjhulE4zsy8_ihvruM6aEucOKDyAFucoaiM3NagZJqgfooIk6e0HEB_L0QuyecQHg5xm1d1K8FD6NLkkmqlFZJ5HwDIXr_oJE0yM4-qOyEd0NUyMXDR4S0Smg-ma3qHWIWYyk30ctn-sH9ocJ_DCPcJm1goG9d4dDmB-9YiyCQWb-q6VOoppkmm1x1CaH56oBJRGTYjjldd2IeeQWC995Qr8XZ14GozM1ld33YvFKb2d9GIOKH99N7vzDG7eEd6YIwB7_WCh0GXY0sgy2Dr4rrHKuF2gg3Mfnqw1Sm7I7lwyzizH18NPd4uzOsOvAeiDw_04byrE6CKWqTLR4IozDVSIXtiijty5HdIUOBtLTatpER-oGpISJ7nSLHgP2-NPm7DlFHohtqIh6kXKK4BzHpEeAoHkHWdEFiyfx-tidNAxmu4QaLBUkHf-1IKG6b6ILk-BuZLN-7ypT_jtr3XKnYRX5kH3_O174QcOh7jNZxOvqnpRkJmAIoJ6I7nL6Vr0nmhvrbCzArwZBgBWlG2JW3ss9v2_UvZ7LfPQx60heYfneG0XEhqJbFRlx8HgFOA_qS9z9lsthcveRk-93WDroYoKXu6S-0DpuPZybiF1OKn8br8U3O2NTKzx1MnYE-wYw8Ea-wrntHTfp6P5eyidsEPtjV3em6cZWQeEQj9lS80_ttwc6uY7I7dHjIlKI4jGH1QS5KdJRWeGSnD_FxVYy8ygjEzoi5Iw-TRMvBwyDDlQinfZedtv_BM24B66sNZgRli7UyxPHXP4QW4XEgvjEt1CrFPgpr6NpsXT5M22q-vNH4wlbWtpHuqHBk6quMQW21u2sahHugveS3c0Z7_ALRvuA4IusmhPUQG-5w==&p=3&fvj=0&vjs=3,1,error,Could not find apply on company site button,http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BLH0BMQoDn-yw6Urt952hBm1JLFZ7WpBxND2cMIOjOqbFVk94wXfJol2fCSe2VsLxxSSHXWaA-EUlqBwwXr1NtQbzAF_Y5WwCJ31kW5k_Qw8nBrSNlHpS6504UfWrpNNGOThdYOwTqxefOoIDfv7tPzLW7t2OvoLvs_yc1uJmig9nAqjI38Hp8CNAgB0eaAv0tvR3OJLLMyh33HYn0JjR7l0IZQ1jnPmlb8yNejjhulE4zsy8_ihvruM6aEucOKDyAFucoaiM3NagZJqgfooIk6e0HEB_L0QuyecQHg5xm1d1K8FD6NLkkmqlFZJ5HwDIXr_oJE0yM4-qOyEd0NUyMXDR4S0Smg-ma3qHWIWYyk30ctn-sH9ocJ_DCPcJm1goG9d4dDmB-9YiyCQWb-q6VOoppkmm1x1CaH56oBJRGTYjjldd2IeeQWC995Qr8XZ14GozM1ld33YvFKb2d9GIOKH99N7vzDG7eEd6YIwB7_WCh0GXY0sgy2Dr4rrHKuF2gg3Mfnqw1Sm7I7lwyzizH18NPd4uzOsOvAeiDw_04byrE6CKWqTLR4IozDVSIXtiijty5HdIUOBtLTatpER-oGpISJ7nSLHgP2-NPm7DlFHohtqIh6kXKK4BzHpEeAoHkHWdEFiyfx-tidNAxmu4QaLBUkHf-1IKG6b6ILk-BuZLN-7ypT_jtr3XKnYRX5kH3_O174QcOh7jNZxOvqnpRkJmAIoJ6I7nL6Vr0nmhvrbCzArwZBgBWlG2JW3ss9v2_UvZ7LfPQx60heYfneG0XEhqJbFRlx8HgFOA_qS9z9lsthcveRk-93WDroYoKXu6S-0DpuPZybiF1OKn8br8U3O2NTKzx1MnYE-wYw8Ea-wrntHTfp6P5eyidsEPtjV3em6cZWQeEQj9lS80_ttwc6uY7I7dHjIlKI4jGH1QS5KdJRWeGSnD_FxVYy8ygjEzoi5Iw-TRMvBwyDDlQinfZedtv_BM24B66sNZgRli7UyxPHXP4QW4XEgvjEt1CrFPgpr6NpsXT5M22q-vNH4wlbWtpHuqHBk6quMQW21u2sahHugveS3c0Z7_ALRvuA4IusmhPUQG-5w==&p=3&fvj=0&vjs=3,4,,0,0,0,0,0,0,0,0,0,0
0,Machine Learning Engineer,City of Tacoma,"Tacoma, WA",http://indeed.com//rc/clk?jk=411b8e0ccdd7c78a&fccid=5dca83c664da4d4b&vjs=3,1,mailto,no form to parse,https://www.governmentjobs.com/careers/tacoma/jobs/2735787/machine-learning-engineer,5,,0,0,0,0,0,0,0,0,0,0
0,Applied Machine Learning Engineer,Bytedance,"Seattle, WA",http://indeed.com//rc/clk?jk=f24d2792779c940c&fccid=74fbc768a4e5bece&vjs=3,1,mailto,no form to parse,https://job.bytedance.com/en/position/detail/6704579193910331651,6,,0,0,0,0,0,0,0,0,0,0
0,"AI/ML - Machine Learning Engineer, Machine Intelligence",Apple,"Seattle, WA",http://indeed.com//rc/clk?jk=aace3f46c01d7abc&fccid=c1099851e9794854&vjs=3,1,unknown,cannot parse,https://jobs.apple.com/en-us/details/200169249/ai-ml-machine-learning-engineer-machine-intelligence?team=MLAI,7,,0,0,0,0,0,0,0,0,0,0
0,Engineering Manager (Machine Learning),Twitter,"Seattle, WA",http://indeed.com//rc/clk?jk=304790c2b8ad8c0f&fccid=7a3824693ee1074b&vjs=3,1,twitter,"personal information	first name*	last name*	address	city	state	select	arrow down icon	select	alabama	alaska	arizona	arkansas	california	colorado	connecticut	delaware	florida	georgia	hawaii	idaho	illinois	indiana	iowa	kansas	kentucky	louisiana	maine	maryland	massachusetts	michigan	minnesota	mississippi	missouri	montana	nebraska	nevada	new hampshire	new jersey	new mexico	new york	north carolina	north dakota	ohio	oklahoma	oregon	pennsylvania	rhode island	south carolina	south dakota	tennessee	texas	utah	vermont	virginia	washington	west virginia	wisconsin	wyoming	district of columbia	american samoa	guam	northern mariana islands	puerto rico	united states minor outlying islands	virgin islands, u.s.	country*	select	arrow down icon	select	afghanistan	aland islands	albania	algeria	andorra	angola	anguilla	antarctica	antigua and barbuda	argentina	armenia	aruba	australia	austria	azerbaijan	bahamas	bahrain	bangladesh	barbados	belarus	belgium	belize	benin	bermuda	bhutan	bolivia, plurinational state of	bonaire, sint eustatius and saba	bosnia and herzegovina	botswana	bouvet island	brazil	british indian ocean territory	brunei darussalam	bulgaria	burkina faso	burundi	cambodia	cameroon	canada	cape verde	cayman islands	central african republic	chad	chile	china	chinese taipei	christmas island	cocos (keeling) islands	collectivity of saint martin	colombia	comoros	congo, rebublic of	congo, democratic republic of	cook islands	costa rica	cote d'ivoire	croatia	cuba	curaçao	cyprus	czech republic	denmark	djibouti	dominica	dominican republic	ecuador	egypt	el salvador	equatorial guinea	eritrea	estonia	ethiopia	falkland islands (malvinas)	faroe islands	fiji	finland	france	french guiana	french polynesia	french southern territories	gabon	gambia	georgia	germany	ghana	gibraltar	greece	greenland	grenada	guadeloupe	guatemala	guernsey	guinea	guinea-bissau	guyana	haiti	heard island and mcdonald islands	honduras	hungary	iceland	india	indonesia	iran, islamic republic of	iraq	ireland	isle of man	israel	italy	jamaica	japan	jersey	jordan	kazakhstan	kenya	kiribati	korea, democratic people's republic of	korea, republic of	kuwait	kyrgyzstan	lao people's democratic republic	latvia	lebanon	lesotho	liberia	libya	liechtenstein	lithuania	luxembourg	macao	macedonia, the former yugoslav republic of	madagascar	malawi	malaysia	maldives	mali	malta	martinique	mauritania	mauritius	mayotte	mexico	moldova, republic of	monaco	mongolia	montenegro	montserrat	morocco	mozambique	myanmar	namibia	nauru	nepal	netherlands	new caledonia	new zealand	nicaragua	niger	nigeria	niue	norfolk island	norway	oman	pakistan	palestinian territory, occupied	panama	papua new guinea	paraguay	peru	philippines	pitcairn	poland	portugal	qatar	reunion	romania	russian federation	rwanda	saint barthélemy	saint helena, ascension and tristan da cunha	saint kitts and nevis	saint lucia	saint pierre and miquelon	saint vincent and the grenadines	samoa	san marino	sao tome and principe	saudi arabia	senegal	serbia	seychelles	sierra leone	singapore	sint maarten	slovakia	slovenia	solomon islands	somalia	south africa	south georgia and the south sandwich islands	south sudan	spain	sri lanka	sudan	suriname	svalbard and jan mayen	swaziland	sweden	switzerland	syrian arab republic	tajikistan	tanzania, united republic of	thailand	timor-leste	togo	tokelau	tonga	trinidad and tobago	tunisia	turkey	turkmenistan	turks and caicos islands	tuvalu	uganda	ukraine	united arab emirates	united kingdom	united states	uruguay	uzbekistan	vanuatu	vatican city state	venezuela, bolivarian republic of	viet nam	virgin islands, british	wallis and futuna	western sahara	yemen	zambia	zimbabwe	this field is required.	email address*	zip code	primary phone*	resume/profile*	upload	required field. pdfs only; max file size is 1mb.	cover letter	upload	required field. pdfs only; max file size is 1mb.	u.s.  equal employment opportunity information  (completion is voluntary)	at twitter, we have a bold aspiration to reach every person on the planet. we believe that goal is more attainable with a team that understands and represents different cultures and backgrounds and we are committed to an inclusive and diverse twitter.	this is where you come in! please take a few minutes to provide us with your information. you are not required to provide this information and you may select “decline to disclose”. your decision to provide information (or not) will not affect your employment or opportunities at twitter.	twitter is an equal opportunity employer. we do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.	gender*	select	arrow down icon	select	female	male	other or withhold / decline to disclose	this field is required.	race/ethnicity*	select	arrow down icon	select	asian (not hispanic or latinx)	black or african american (not hispanic or latinx)	hispanic or latinx	native american or alaska native (not hispanic or latinx)	native hawaiian or other pacific islander (not hispanic or latinx)	two or more races / multiracial	white (not hispanic or latinx)	withhold / decline to disclose	this field is required.	veteran status*	select	arrow down icon	select	i am not a u.s. veteran.	i identify as a u.s. veteran.	withhold / decline to disclose	this field is required.	gender identity*	select	arrow down icon	select	gender-nonconforming	neither gender-nonconforming nor transgender	transgender	withhold / decline to disclose	this field is required.	sexual orientation*	select	arrow down icon	select	bisexual	gay	heterosexual	lesbian	other	withhold / decline to disclose	this field is required.	veteran branch of service	select	arrow down icon	select	air force	army	coast guard	marines	navy	other	withhold / decline to disclose	this field is required.	you can view the ‘eeo is the law’ poster	here	.	twitter does not accept any unsolicited resumes from recruiting agencies and will not pay fees associated with any such resumes. agencies, please do not send resumes to any twitter location, employee, or email address.	twitter, inc. is committed to working with and providing access and reasonable accommodations to applicants with physical or mental disabilities. if you need an accommodation in order to apply for open job opportunities, please submit a description of your accommodation request to	rarequest-recruiting@twitter.com	. this email is only for accommodation requests related to the application process.	twitter cares about your privacy and protecting your data.  please click the privacy policy link and acknowledge you have read and understood how twitter treats your privacy and your data.	privacy policy - i have read and acknowledge twitter’s	applicant and candidate privacy policy	.	would you like to receive email communication from twitter about career opportunities? you may unsubscribe at any time.	yes	no	applicant data - you have a choice.  can we keep your personal data for both the job you are applying for and any other twitter jobs that we feel you may be a match for?  if you choose yes we will retain your personal data for a period of twelve months to consider you for other job opportunities at twitter.	yes	no	analytics - may we use personal data from your resume and application to analyze and improve the twitter hiring experience.	yes	no	success	thanks for applying!	error	submission failed. please make sure all fields are correctly formatted.	apply",https://careers.twitter.com/en/work-for-twitter/202005/engineering-manager-machine-learning-home-timeline.html,8,,9,0,1,5,3,0,0,0,2,0
0,NLP / Machine Learning Engineers,Saykara,"Seattle, WA",http://indeed.com//rc/clk?jk=63350370c7dd57db&fccid=acd261fc3c859ecc&vjs=3,1,apply now,"nlp / machine learning engineers	saykara	-	seattle, wa	* these fields are required	name *	email *	phone number	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	you can attach additional documents after your resume.	add cover letter	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	continue	cancel",https://www.indeed.com/viewjob?jk=63350370c7dd57db&from=serp&vjs=3,9,,0,0,0,0,0,0,0,0,0,0
0,Machine Learning Software Engineer - US,Luminex,"Seattle, WA",http://indeed.com//rc/clk?jk=a6fd1f31b6888d03&fccid=907e8b53aae93cae&vjs=3,1,apply now,"machine learning software engineer - us	luminex	-	seattle wa us 98119	* these fields are required	first name *	last name *	email *	phone number *	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	add cover letter	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	below you will see questions from the employer that are part of this application.	what are your salary expectations? *	have you ever been employed by luminex corporation? (if yes, please give the dates of your employment in the additional comments section below) *	yes	no	are you 18 years of age or older (16 years of age for student internship)? *	yes	no	do you meet the minimum education, certification and specific experience requirements listed in the job description? *	yes	no	below you will see questions from the employer that are part of this application.	race/ethnicity *	hispanic or latino	white (not hispanic or latino)	black or african american (not hispanic or latino)	native hawaiian or other pacific islander (not hispanic or latino)	asian (not hispanic or latino)	american indian or alaska native (not hispanic or latino)	two or more races  (not hispanic or latino)	decline to answer	gender *	male	female	decline to answer	below you will see questions from the employer that are part of this application.	voluntary self-identification of disability            form cc-305        omb control number 1250-0005        expires 1/31/2020        why are you being asked to complete this form?	because we do business with the government, we must reach out to, hire, and provide equal opportunity to qualified people with disabilities.	i	to help us measure how well we are doing, we are asking you to tell us if you have a disability or if you ever had a disability. completing this form is voluntary, but we hope that you will choose to fill it out. if you are applying for a job, any answer you give will be kept private and will not be used against you in any way.	if you already work for us, your answer will not be used against you in any way. because a person may become disabled at any time, we are required to ask all of our employees to update their information every five years. you may voluntarily self-identify as having a disability on this form without fear of any punishment because you did not identify as having a disability earlier	how do i know if i have a disability?	you are considered to have a disability if you have a physical or mental impairment or medical condition that substantially limits a major life activity, or if you have a history or record of such an impairment or medical condition.	blindness	deafness	cancer	diabetes	epilepsy	autism	cerebral palsy	hiv/aids	schizophrenia	muscular dystrophy	bipolar disorder	major depression	multiple sclerosis (ms)	missing limbs or partially missing limbs	post-traumatic stress disorder (ptsd)	obsessive compulsive disorder	impairments requiring the use of a wheelchair	intellectual disability (previously called mental retardation)	horizontal lineselect one of the following options:	....	yes, i have a disability (or previously had a disability)	no, i don't have a disability	i don't wish to answer	reasonable accommodation notice	federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities.        please tell us if you require a reasonable accommodation to apply for a job or to perform your job. examples        of reasonable accommodation include making a change to the application process or work procedures,        providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.	i        section 503 of the rehabilitation act of 1973, as amended. for more information about this form or the equal employment obligations        of federal contractors, visit the u.s. department of labor’s office of federal contract compliance programs (ofccp) website at	www.dol.gov/ofccp	.	public burden statement: according to the paperwork reduction act of 1995 no persons are required to respond to a collection of        information unless such collection displays a valid omb control number. this survey should take about 5 minutes to complete.	candidate name *	disability questionnaire answered date *	below you will see questions from the employer that are part of this application.	this employer is a government contractor subject to the vietnam era veterans’        readjustment assistance act of 1974, as amended by the jobs for veterans act of 2002,        38 u.s.c. 4212 (vevraa), which requires government contractors to take affirmative action to        employ and advance in employment: (1) disabled veterans; (2) recently separated veterans; (3)        active duty wartime or campaign badge veterans; and (4) armed forces service medal veterans.        these classifications are defined as follows:	a “disabled veteran” is one of the following:	a veteran of the u.s. military, ground, naval or air service who is entitled            to compensation (or who but for the receipt of military retired pay would            be entitled to compensation) under laws administered by the secretary of            veterans affairs; or	a person who was discharged or released from active duty because of a service-connected disability.	a “recently separated veteran”        means any veteran during the three-year period        beginning on the date of such veteran’s discharge or release from active duty in        the u.s. military, ground, naval, or air service.	an “active duty wartime or campaign badge veteran” means a veteran who served        on active duty in the u.s. military, ground, naval or air service during a war, or in        a campaign or expedition for which a campaign badge has been authorized under        the laws administered by the department of defense.	an “armed forces service medal veteran” means a veteran who, while serving on        active duty in the u.s. military, ground, naval or air service, participated in a        united states military operation for which an armed forces service medal was        awarded pursuant to executive order 12985.	protected veterans may have additional rights under userra – the uniformed services        employment and reemployment rights act. in particular, if you were absent from employment        in order to perform service in the uniformed service, you may be entitled to be reemployed by        your employer in the position you would have obtained with reasonable certainty if not for the        absence due to service. for more information, call the u.s. department of labor’s veterans        employment and training service (vets), toll-free, at 1-866-4-usa-dol.	if you believe you belong to any of the categories of protected veterans listed        above, please indicate by checking the appropriate box below. as a government contractor        subject to vevraa, we request this information in order to measure the effectiveness of the        outreach and positive recruitment efforts we undertake pursuant to vevraa.	submission of this information is voluntary and refusal to provide will not subject you to any adverse treatment.        the information provided will be used only in ways that are not inconsistent with the vietnam era veterans' readjustment        assistance act of 1974, as amended.	because luminex is a federal contractor, we are obligated to request that all candidates fill out and submit the attached form for our records. the data collected in this form will not be considered in the hiring process or thereafter. any information that you do provide will be recorded and maintained in a confidential file. if you have any questions or you would like to view the affirmative action plan, please contact cissy lara at clara@luminexorp.com.	i identify as one or more of the classifications of protected veteran listed above	i am not a protected veteran	i prefer not to answer	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel",https://www.indeed.com/viewjob?jk=a6fd1f31b6888d03&from=serp&vjs=3,10,,1,0,1,22,2,0,0,0,0,0
